csv_file,total_rows,empty_rows,indian_rows
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-24-07.csv,20715,6048,1567
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-20-00.csv,22715,7273,178
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-09-12.csv,24866,7818,430
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-03-00.csv,19400,7086,306
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-14-05.csv,26088,9361,1088
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-19-12.csv,25040,8077,1447
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-09-15.csv,23943,7182,865
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-25-15.csv,22274,6801,980
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-26-00.csv,19340,6676,251
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-06-07.csv,26059,7895,1678
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-01-18.csv,116454,36872,1036
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-24-02.csv,15938,5242,520
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-28-23.csv,41840,13331,225
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-17-07.csv,25636,8465,2493
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-29-18.csv,189691,60513,1499
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-12-09.csv,21396,6442,578
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-19-14.csv,21220,7713,336
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-18-00.csv,15213,4855,98
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-13-05.csv,19068,6349,1345
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-05-09.csv,25376,7812,1300
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-28-16.csv,18414,5622,947
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-31-04.csv,35805,11921,1415
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-17-04.csv,17423,5757,1083
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-16-09.csv,25313,7901,1770
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-23-02.csv,2127,714,19
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-30-14.csv,18489,5567,871
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-01-00.csv,51465,17465,610
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-16-08.csv,10092,3448,293
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-13-15.csv,25568,8160,1097
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-08-03.csv,24720,8188,1023
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-09-22.csv,30129,9346,120
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-20-17.csv,29476,8951,1127
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-10-04.csv,26347,8644,1676
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-18-02.csv,28645,10692,666
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-02-07-09.csv,15366,5212,445
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-03-14-19.csv,16896,5304,200
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-25-00.csv,28203,9343,439
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-26-23.csv,30550,10198,272
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-05-08.csv,15983,4833,1051
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-01-24-05.csv,12873,4616,277
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-20-06.csv,19987,6386,1288
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-04-08-18.csv,27281,8144,914
COVID-19-Twitter-Dataset-35GB/coronavirus-tweet-id-2020-05-13-11.csv,19053,5896,841
